r_fighter,b_fighter,height_diff,reach_diff,age_diff,strike_eff_diff,grapple_eff_diff,performance_diff,win_ratio_diff,r_fighter_win
Anthony Hernandez,Roman Kopylov,0.0,0.0,-2.0,0.36000000000000076,-0.10999999999999999,-0.13399967666703583,-0.01098901098901095,1
Amanda Lemos,Mackenzie Dern,0.0,5.079999999999984,6.0,-0.40000000000000036,0.28,0.09115380470090206,0.0,1
Marcos Rogerio de Lima,Junior Tafa,-5.0800000000000125,0.0,11.0,-0.6300000000000001,0.11000000000000004,0.18807544735211246,-0.17708333333333337,1
Rinya Nakamura,Carlos Vera,-7.6200000000000045,,-9.0,2.45,0.925,1.1006118776963125,0.2142857142857143,1
Zhang Mingyang,Brendson Ribeiro,-2.539999999999992,-15.240000000000009,-2.0,0.11999999999999833,0.0,0.034230437607216224,-0.022727272727272707,1
Josh Quinlan,Danny Barlow,-5.0800000000000125,-17.78,2.0,-9.12,0.36,-0.9314545163328052,-0.1428571428571429,0
Oban Elliott,Val Woodburn,10.159999999999997,-5.0800000000000125,-5.0,8.96,-0.28,0.06838402675280875,-0.05681818181818177,1
Andrea Lee,Miranda Maverick,7.619999999999976,10.159999999999997,8.0,0.13000000000000034,0.10499999999999998,0.20169131282164887,-0.11779448621553879,0
Jack Hermansson,Joe Pyfer,-2.5400000000000205,5.0800000000000125,8.0,0.13999999999999968,-0.14500000000000002,0.12538338008688077,-0.11520737327188935,1
Dan Ige,Andre Fili,-10.159999999999997,-7.6200000000000045,-1.0,0.5299999999999998,-0.15999999999999998,-0.05461532658126289,0.02083333333333337,1
Robert Bryczek,Ihor Potieria,-12.699999999999989,,10.0,0.9699999999999998,-0.285,-0.9249953655608478,-0.018939393939393923,0
Brad Tavares,Gregory Rodrigues,-5.0800000000000125,-2.539999999999992,4.0,0.029999999999999805,-0.20999999999999996,-0.39022860538708637,-0.047186932849364704,0
Michael Johnson,Darrius Flowers,2.5400000000000205,5.079999999999984,8.0,3.1999999999999993,-0.07499999999999996,0.03507684846162362,-0.09499358151476245,1
Rodolfo Vieira,Armen Petrosyan,-7.6200000000000045,5.079999999999984,1.0,-4.42,0.28500000000000003,-0.23122860538708645,0.0,1
Trevin Giles,Carlos Prates,-2.539999999999992,-10.159999999999997,1.0,-0.23999999999999932,0.63,0.061539987006805075,0.022774327122153215,0
Loma Lookboonmee,Bruna Brasil,-12.699999999999989,-10.159999999999997,-3.0,2.0599999999999996,0.025000000000000022,0.0931532658126285,0.034965034965035,1
Devin Clark,Marcin Prachnio,-7.6200000000000045,2.539999999999992,-2.0,-2.0999999999999996,0.19499999999999995,-0.24738262564329772,-0.059288537549407105,0
Max Griffin,Jeremiah Wells,5.0800000000000125,5.079999999999984,1.0,-1.2300000000000002,-0.16500000000000004,0.15722946760832401,-0.09482758620689657,1
Zac Pauga,Bogdan Guskov,-2.539999999999992,0.0,4.0,6.5,0.545,0.5455365381218544,-0.04575163398692805,0
Fernie Garcia,Hyder Amil,-5.079999999999984,-7.6200000000000045,-2.0,-1.15,0.09499999999999997,0.037615326581262765,-0.2857142857142857,0
Roman Dolidze,Nassourdine Imavov,-2.539999999999992,2.539999999999992,7.0,-0.7799999999999998,-0.09999999999999998,-0.23730642384760248,0.1071428571428571,0
Renato Moicano,Drew Dober,7.6200000000000045,5.079999999999984,-1.0,0.5599999999999996,0.23499999999999993,0.1419229359830667,0.04682274247491636,1
Randy Brown,Muslim Salikhov,10.159999999999997,20.319999999999993,-6.0,0.5899999999999999,0.0,0.10030685495822111,-0.05335968379446643,1
Viviane Araujo,Natalia Silva,0.0,7.6200000000000045,11.0,-3.8200000000000007,-0.010000000000000009,-0.13984544085551498,-0.021390374331550777,0
Gilbert Urbina,Charles Radtke,15.240000000000009,7.6200000000000045,-6.0,2.8400000000000003,-0.32999999999999996,0.34230437607216313,-0.027272727272727337,0
Molly McCann,Diana Belbita,-7.6200000000000045,-15.240000000000009,6.0,0.6199999999999992,-0.265,-0.181999245556417,0.03203661327231122,1
Azat Maksum,Charles Johnson,-5.079999999999984,0.0,-4.0,-3.4000000000000004,-0.29000000000000004,-0.25130663940291176,0.3157894736842105,0
Themba Gorimbo,Pete Rodriguez,10.159999999999997,15.240000000000009,5.0,1.4100000000000004,0.08000000000000007,-1.0287621257346093,-0.10000000000000009,1
JeongYeong Lee,Blake Bilder,5.0800000000000125,12.699999999999989,-5.0,0.13000000000000012,-0.18500000000000005,-0.39330556162636465,0.10909090909090902,1
Luana Carolina,Julija Stoliarenko,-2.5400000000000205,7.6200000000000045,0.0,2.4,0.04500000000000004,0.2534600129931951,0.16849816849816845,1
Thomas Petersen,Jamal Pogues,-5.0800000000000125,-7.6200000000000045,1.0,2.2699999999999996,0.42999999999999994,0.1938457641884791,0.17460317460317454,0
Sean Strickland,Dricus Du Plessis,0.0,0.0,3.0,-1.58,0.29,0.006924013759613601,-0.06060606060606055,0
Raquel Pennington,Mayra Bueno Silva,2.5400000000000205,2.5400000000000205,3.0,1.2299999999999995,-0.14000000000000007,-0.058230653162525736,-0.14423076923076927,1
Neil Magny,Mike Malott,5.0800000000000125,17.78,4.0,-0.08999999999999986,0.2,-0.022537831453711132,-0.13333333333333341,1
Chris Curtis,Marc-Andre Barriault,-7.619999999999976,2.539999999999992,3.0,-1.67,0.0,-0.06961489547064414,0.022727272727272707,1
Arnold Allen,Movsar Evloev,2.539999999999992,-5.079999999999984,0.0,-1.35,0.025000000000000022,-0.14138359564219027,-0.09523809523809523,0
Brad Katona,Garrett Armfield,0.0,-15.240000000000009,4.0,-1.5400000000000005,-0.025000000000000022,-0.09130728606883998,0.13235294117647056,0
